"XXXXXXXXXXXXXXXXXXXXXXXXX"
"X XXXXXXXXXXXXXXXXXXXXX X"
"X  XXXXXXXXXXXXXXXXXXX  X"
"X   XXXXXXXXXXXXXXXXX   X"
"X  K  XXXXXXXXXXXXXXX  KX"
"X A   XXXXXXXXXXXXX     X"
"X  A   XXXXXXXXXXX      X"
"X   B   XXXXXXXXX       X"
"X        XXXXXXX        X"
"X       S XXXXX         X"
"X          XXX     K    X"
"X   P       X           X"
"X                S      X"
"X           X           X"
"X          XXX          X"
"X      S  XXXXX S  R    X"
"X        XXXXXXX        X"
"X       XXXXXXXXX       X"
"X      XXXXXXXXXXX      X"
"X     XXXXXXXXXXXXX     X"
"X    XXXXXXXXXXXXXXX    X"
"X   XXXXXXXXXXXXXXXXX   X"
"X  XXXXXXXXXXXXXXXXXXX  X"
"X XXXXXXXXXXXXXXXXXXXXX X"
"XXXXXXXXXXXXXXXXXXXXXXXXX"
