"XXXXXXXXXXXXXXXXXXXXXXXXX"
"X                       X"
"X    P             X R  X"
"X                       X"
"X                K      X"
"X                       X"
"X                       X"
"X                       X"
"X                       X"
"X          @            X"
"X                       X"
"X                       X"
"X                       X"
"X                       X"
"X  K                    X"
"X                       X"
"X                       X"
"X                       X"
"X         K             X"
"X                       X"
"X                       X"
"X                       X"
"X                       X"
"X                       X"
"XXXXXXXXXXXXXXXXXXXXXXXXX"
