"XXXXXXXXXXXXXXXXXXXXXXXXX"
"X XXXXXXXXXXXXXXXXXXXXX X"
"X  XXXXXXXXXXXXXXXXXXX  X"
"X   XXXXXXXXXXXXXXXXX   X"
"X    XXXXXXXXXXXXXXX    X"
"X     XXXXXXXXXXXXX     X"
"X      XXXXXXXXXXX KKK  X"
"X  P    XXXXXXXXX       X"
"X        XXXXXXX        X"
"X         XXXXX         X"
"X          XXX          X"
"X           X           X"
"X                       X"
"X           X           X"
"X          XXX          X"
"X         XXXXX    R    X"
"X        XXXXXXX        X"
"X       XXXXXXXXX       X"
"X      XXXXXXXXXXX      X"
"X     XXXXXXXXXXXXX     X"
"X    XXXXXXXXXXXXXXX    X"
"X   XXXXXXXXXXXXXXXXX   X"
"X  XXXXXXXXXXXXXXXXXXX  X"
"X XXXXXXXXXXXXXXXXXXXXX X"
"XXXXXXXXXXXXXXXXXXXXXXXXX"
